Symbol,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
S100A3,6.08099,7.178056,7.131595,8.180552,7.817653,6.950221,6.824642,7.670258,7.049802,6.642565,6.692271,6.776666,7.179911,5.973437,7.534678,7.767347805,7.759107244,8.221297351,6.567132891,8.45100598,9.696503575,6.452486679,8.341772862,7.05105795,7.717118438,7.377859963,8.61697072,9.787256033,8.804831421,6.163882539,8.857424075,7.114521497,7.714384591,7.812418,9.49387,9.708149,8.758999,7.714938,8.930965,9.453138,8.250868,8.356151,7.920224,9.525038,9.556781024,10.84384565,10.25920853,9.777266192,7.54999704,8.188758245,10.32843141,10.33547805,9.6618948,9.117632549,9.71401406,8.672636159,8.472134623
RSRC1,8.997635,9.180115,8.604765,8.249127,8.452575,8.680312,8.953896,8.635062,9.033555,8.757552,8.681649,8.226828,8.345828,8.292313,8.327771,9.973740099,9.369921618,10.26655333,10.44496706,8.895356347,8.049874835,7.664343699,11.07213573,8.121879037,9.213870795,9.146959091,7.775430393,10.06591224,9.684481792,8.440494567,9.314503765,9.468161387,9.510822611,7.846366,7.148452,7.100543,7.144269,8.136308,7.500823,7.273833,7.666095,7.531276,7.665085,7.111125,7.782840995,7.756682686,7.154366572,8.184140255,7.03000266,6.719767859,7.961070778,8.709557517,7.291353003,7.661863339,7.794721224,8.09928245,7.264851282
RSPO3,8.400305,9.26954,8.306844,7.578499,8.521028,10.096782,8.347382,8.397685,7.019459,7.759034,8.112688,7.968678,8.318337,7.697358,7.829394,10.80442352,8.675443263,10.60097468,10.20890962,10.34056005,8.095617304,8.319119821,10.72095709,10.42697759,10.79042759,10.87174246,6.392366234,10.88100134,9.796478814,10.04213648,9.775855719,11.27066607,10.29695245,7.448222,7.315572,7.014426,7.153062,7.131107,6.829323,7.184448,7.545889,7.232059,7.212025,7.131638,8.356923187,7.797239451,8.504560389,8.744936362,11.33454536,8.047254327,9.331200155,8.632331001,7.961347545,7.317176589,10.21050579,8.475962331,7.437715371
RFC1,9.807943,10.162553,9.487721,9.29715,9.687785,9.671325,9.568678,9.248947,9.667257,9.195734,9.433563,9.255659,9.304333,9.324959,9.148696,11.66895311,12.44488585,12.74351762,12.6212731,11.47212702,10.55578199,10.00788446,12.61594084,10.71986281,11.18499033,10.67828664,9.310607311,11.51474464,11.16740498,10.24848133,11.89759046,12.20911269,11.88480516,8.910354,7.785265,8.006664,7.986101,9.238583,8.496474,7.717703,8.530181,7.780936,8.279419,7.768469,10.35744301,10.10081698,10.01062314,11.10271413,9.901099762,9.202001432,9.618309986,10.35470121,9.259754842,9.976717347,10.46750508,10.70307256,8.662394025
PKP2,8.326378,9.057961,9.509542,8.286669,8.899228,8.977398,7.594063,9.799174,7.896142,7.715984,9.406558,9.393539,8.655914,9.607433,9.517799,7.500830729,5.297442176,5.705496488,5.192188167,6.349316909,8.662027965,8.145349876,7.773615033,7.218746617,8.880443733,6.943897295,8.410647463,8.4970954,10.18852652,5.805130414,7.856706507,7.168052542,7.957563708,7.343723,8.763586,7.68571,6.951435,7.805993,7.726852,7.472419,8.309521,8.195713,8.398517,7.505877,5.737728122,5.352804244,7.953679225,5.066707323,6.602860128,5.407296271,6.895888367,7.363955566,7.328262048,5.87535241,5.039440646,5.180357948,5.747111878
NIPBL,9.660708,9.773737,9.802503,9.697937,9.665182,9.621603,9.596436,9.721752,9.471307,9.591251,9.580134,9.724972,9.739464,9.68391,9.574659,7.700085335,11.35943085,10.95983749,11.67417214,7.47765706,8.073926217,7.078196442,10.57855863,6.677754416,9.082514239,8.921692007,6.00835957,8.154890381,8.165581729,6.340254773,10.04659766,11.12431126,10.48304765,9.282569,8.636414,8.105023,8.340295,9.272755,8.705837,8.194036,8.895351,8.493649,8.817799,8.190738,7.756878367,6.608319734,8.424866692,9.065927093,8.666549003,6.571452431,7.110185904,7.651503668,7.28078847,6.095485067,8.386250599,6.821454633,5.779432441
NCL,10.840876,10.71505,10.740094,11.086397,10.800255,10.770358,10.430327,11.24786,11.411644,10.896495,10.631382,10.150161,10.100422,10.390855,10.097506,13.03494271,12.87950379,12.5391722,13.09561394,11.9354812,11.1844648,10.96152567,13.66089319,10.51776965,12.18033238,11.95654601,10.35012954,12.68972616,12.20804513,10.6467775,12.5262265,12.56781728,12.18128404,9.533781,9.238439,9.239605,9.190293,10.072629,9.671964,8.975548,10.160249,9.277142,9.36071,8.595711,10.38589009,10.37074815,10.60350316,11.10278489,11.54313006,10.7402482,11.52929025,10.90122995,10.97596965,10.18626718,10.77143103,11.27224834,10.90027573
N4BP2,7.852798,8.135967,7.845021,7.791177,7.812208,7.471163,7.819174,7.858832,8.081581,7.75482,7.786027,7.615908,7.521387,7.464601,7.485945,8.076576731,9.685302001,10.08368879,10.62716447,8.676926448,8.520186118,7.406981838,10.17701601,7.85005075,7.754142286,8.48186915,6.267754277,7.868296609,8.886154682,7.410776011,8.732326369,9.375838852,9.650681107,7.324377,6.795802,6.424166,6.447887,7.224977,6.796419,6.448651,6.736202,6.971022,6.690888,6.266702,7.485202146,7.873405167,8.154200561,8.592049307,7.733909609,5.331805663,6.943010053,6.907441595,6.745798738,5.265270166,7.244138881,7.288734881,4.967479199
MYO5A,9.332655,9.40952,8.845886,8.749756,8.953276,9.127349,9.066798,9.211062,9.285291,8.891871,8.80097,8.670473,8.663173,8.368242,8.547645,9.364432262,8.689850831,9.111120398,9.700561711,8.362068674,7.491173859,6.090364382,9.484816191,7.657628125,9.399279291,8.181221216,6.099975499,9.435339297,9.913583218,7.259726561,9.471505727,8.590520518,8.304859192,8.294468,7.624482,7.618204,7.579304,8.510771,8.231307,7.215913,8.406321,7.721779,7.994913,7.077989,6.741797973,7.449887958,7.124225101,6.929482623,7.57934494,5.23695531,6.794719197,6.991570038,7.401665436,6.498011849,7.09035686,6.961729618,5.91801273
MYCBP2,9.735555,9.779081,9.627764,9.332141,9.596443,10.319285,9.641152,9.698736,9.463402,9.471309,9.584307,9.435757,9.552702,9.446774,9.329071,10.82559747,10.35477912,10.91745176,11.03169483,9.619144868,9.377088197,9.248306766,11.33028148,9.420017437,10.24063132,10.35931064,8.89765964,10.45112339,10.81722459,9.641588858,9.90367443,10.43336445,10.45033746,9.051857,8.260101,8.059415,8.15031,9.388096,8.609853,7.78035,8.887369,8.228223,8.579006,8.01111,8.59083863,8.875910197,8.984735284,9.81080958,9.661014481,9.221435749,9.259563691,9.377710312,8.953185743,8.636359899,9.588996417,9.184140838,8.869136464
MIS18BP1,8.40135,8.732286,7.895047,7.448839,8.583549,8.003097,8.092339,8.156448,8.466832,7.747966,8.07706,8.180802,8.04481,8.649088,8.24771,8.037071023,10.98125099,10.59621303,11.44104666,9.776079464,9.441441875,7.959482641,9.847912387,9.271601448,9.217246278,8.458746057,7.27617238,8.224290479,10.51818481,8.566754534,9.330260199,10.85585573,11.03772934,7.492402,6.778295,6.244182,6.334637,7.483307,7.011802,6.962646,6.882602,6.783602,6.705098,6.551189,8.817341809,8.214910545,8.336168663,9.609532871,9.002436944,6.853760399,8.293879796,8.213194021,8.114503444,7.684032179,9.583700421,9.28136525,6.958066071
MACC1,9.563507,9.678075,9.472702,9.590047,9.102087,7.576331,9.3143,8.558124,10.112853,10.24654,9.262192,9.25907,8.974646,8.649624,8.731795,8.698654231,9.08281416,8.839042776,8.864497942,7.33168417,7.401850753,6.58707438,9.047790632,7.504507521,7.218884306,7.366266155,6.189483905,8.182002789,7.698178825,7.388469318,7.905702693,8.34330668,8.055976262,7.777258,7.933424,7.606034,7.687597,8.679221,8.366803,7.32284,8.973122,8.293186,7.556791,7.172016,6.1088036,7.354022641,7.725848023,5.707773589,5.218332187,6.269639629,7.447842937,7.104257326,6.856118924,5.639968326,6.644944032,7.795285636,6.480213003
IQGAP2,9.860106,10.442475,9.858755,9.401801,9.671271,9.512776,9.737949,10.375723,9.346426,9.498829,9.532408,9.714625,9.228424,9.849629,9.621011,9.52551454,9.88004228,10.12643416,9.160988322,9.049775662,8.747239207,7.600272631,10.4675892,7.841606631,9.259265758,8.507036366,7.832269148,9.534966443,10.10222914,7.497738005,9.251565336,9.441214311,9.680948146,8.909593,8.434466,7.877709,7.70742,9.245083,8.655432,8.03312,8.572757,8.288724,8.105542,7.520269,7.613593525,7.557697075,7.943131436,8.093162314,8.000851065,5.896381409,7.101540395,8.148789792,7.981611971,7.855413516,7.826255675,7.688543095,6.745480528
IGF1,9.841124,10.075763,9.158929,8.715073,10.478795,10.99944,9.576575,10.386676,9.352827,8.796314,9.580154,8.852663,9.353853,8.286154,9.028706,10.89239556,9.445727695,10.9648413,11.05809306,10.90285579,9.376047357,10.16468919,10.93311281,11.21249431,12.5543697,11.17648467,10.19216463,11.05396786,12.13787711,10.50260617,11.09915101,11.61896991,10.28425834,8.241432,8.277694,7.711552,8.6521,8.416493,7.831242,7.555949,8.825219,8.091987,9.020246,7.747546,9.223992187,9.275654353,9.047902445,9.43785036,11.88050658,8.746480466,10.72478262,9.261207207,9.955598692,7.879727649,10.47190159,9.752244037,7.996814512
HOOK1,7.415694,7.635763,7.580264,7.515224,7.489704,5.985053,7.251701,7.246663,8.155791,7.687028,7.181799,7.207335,7.015517,7.136548,6.785264,4.7531334,7.840586963,8.308563978,7.709173235,6.422668748,7.254325046,5.833079684,7.043134558,5.965295049,7.269364375,5.291067532,4.594999432,6.068273596,5.575725176,5.683554589,8.530220566,8.096668293,7.93988852,6.592589,6.15029,5.910597,5.826568,6.453418,6.103544,5.784941,6.101352,5.990203,6.086362,5.659613,6.529937485,5.530731293,6.989158728,5.616170047,5.957570476,4.107549911,5.098801431,5.592885371,5.059819088,4.822390943,6.091271022,5.583975005,4.952993184
